"Data Source","World Development Indicators",

"Last Updated Date","2025-12-04",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34420.7541477901","","","",
"Africa Eastern and Southern","AFE","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2853.97967107811","2785.03011114545","2667.43642229641","2640.29894648187","2642.15997247163","2652.77351661004","2721.33048236995","2739.62730503427","2728.0835488395","2715.15541175643","2707.00858053813","2729.41630674959","2770.290494819","2816.28327946763","2931.14887442147","3082.19195748356","3271.8133615308","3346.75535429733","3385.27857656912","3235.16832644309","3412.75264156926","3565.22686094438","3629.13117692119","3670.15374368644","3701.63340249703","3701.06280935845","3772.02935080816","3801.56903923971","3839.99645347591","3877.47299109009","3702.1734984372","3871.94256899066","3899.12613732126","3952.92997916316","4010.16926094228",
"Afghanistan","AFG","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2817.99602169091","2157.11181691798","1979.53034931513","2050.8664396012","",
"Africa Western and Central","AFW","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5559.48693112179","5672.53003282651","6405.46218946344","7688.07451395082","8737.67837164558","8590.70791515006","8637.2582005826","6628.62883595638","8323.53298052323","9411.22279367154","9547.76561626556","9398.03743553969","8942.1595850016","7520.49515772037","7553.69316365282","6947.52077391315","7210.53294298214","7776.67563708148","5878.66647269044","6800.61330666193","6858.90445037218","6275.11393526182","6254.16953066624",
"Albania","ALB","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4976.22716848623","5368.61942963711","4725.29974151563","5214.42239439555","6072.35343400597","6641.98928029607","7346.56740864537","7613.54963964317","8085.6783415098","8641.1505033973","9004.92553536369","9690.08641274093","10474.7223066374","11168.1086649736","11365.5754024039","11675.3484563291","11937.1788268635","11990.5868094533","12491.2903512567","12791.1373595966","13237.347214895","13880.3528372353","14251.8146342627","14791.9902794296","14986.0597618056","14402.2970275496","15904.5328320831","17154.1506553725","18404.6379498887","",
"Andorra","AND","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63828.5051461807","","","",
"Arab World","ARB","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11741.6147269763","11612.9046662886","11718.5988052235","12177.6678490098","13185.1658140857","14346.6740957844","15534.7681915736","16030.6943327967","17471.83922249","15150.4822125844","16149.7853029883","17711.1031304825","18362.7223369365","18097.9533554484","17539.1345281849","15738.0510103024","15613.707672012","16100.1977273629","16856.9589501051","16748.0580465701","14860.2764775529","16395.320129339","18351.8643060554","17587.5184184188","17136.9909330475",
"United Arab Emirates","ARE","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94003.2363491706","87686.5864093394","89026.4830522021","93743.2368760494","100717.699950128","109791.457741273","104536.829616772","101702.079360118","79204.0086512064","73378.1699385654","83333.5344301807","82774.0302821313","83234.5332137","82055.1435666541","70975.170018397","69121.5656074216","70630.774582695","72706.5530263845","72158.7538407963","60237.3203803667","67281.7681335764","80394.1487647438","81220.308703733","",
"Argentina","ARG","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14642.2677467313","16248.1677979764","18074.7006692041","19529.4125116462","20460.0741623393","19129.1509567201","20152.2781549903","21719.5772049627","22105.5607149108","20771.987770076","20469.0663057013","18984.6823841484","16807.3327524559","18171.8319942196","18083.7257415752","19249.6717828448","22637.93708306","24795.7081084667","26093.936201334","23967.3283820953","26389.5942718948","28577.6583773007","28129.1578283548","28444.331675189","27224.4197963747","27720.5596989769","26942.1597447344","27772.3291619415","26440.5138986806","25128.2470113549","22767.226130497","25772.618386908","27309.2862872238","26710.0370488017","25284.1877853823",
